seed_idx,seed_pc1_scaled,seed_epoch
0,0.0,0
1,0.05886448785134725,1
2,0.08823918120334313,2
3,0.30346595992678377,3
4,0.07944696623521359,4
5,0.08767332519930239,5
6,0.17506294860347485,6
7,0.1499572546883818,7
8,0.1036643503725241,8
9,0.16849281720104323,9
10,0.16423934343961835,10
11,0.11249102980139579,11
12,0.16543225114896098,12
13,0.15812264605184928,13
14,0.12135649869690658,14
15,0.2820664537806746,15
16,0.2797053641048282,16
17,0.26589144154047073,17
18,0.2792892750653692,18
19,0.29157228464359175,19
20,0.3186785873553065,20
21,0.3205256626816465,21
22,0.3119841158012317,22
23,0.32201453669426516,23
24,0.32371811320279065,24
25,0.32124609678567734,25
26,0.40984860583024835,26
27,0.418726539185948,27
28,0.4149825774476899,28
29,0.5330467381287444,29
30,0.5296864090813691,30
31,0.5284490859575537,31
32,0.529880737069112,32
33,0.5392561641989793,33
34,0.5260352115849454,34
35,0.5252833222170564,35
